country,subnational1,area_ha,year,carbon_gross_emissions
Malaysia,Sabah,7372091,2009,55672027
Malaysia,Sarawak,12379545,2009,276369034
Malaysia,Selangor,782443,2009,6326792
Malaysia,Trengganu,1288895,2009,8730869
Malaysia,Johor,1911485,2010,13599835
Malaysia,Kedah,951787,2010,6951273
Malaysia,Kelantan,1513205,2010,19433725
Malaysia,Kuala Lumpur,27198,2010,39292
Malaysia,Labuan,9066,2010,12448
Malaysia,Melaka,165403,2010,264055
Malaysia,Negeri Sembilan,666738,2010,2531501
Malaysia,Pahang,3585238,2010,30006073
Malaysia,Perak,2091110,2010,8634580
Malaysia,Perlis,82349,2010,64461
Malaysia,Pulau Pinang,105622,2010,165503
Malaysia,Putrajaya,6173,2010,1694
Malaysia,Sabah,7372091,2010,50929834
Malaysia,Sarawak,12379545,2010,117525138
Malaysia,Selangor,782443,2010,4036288
Malaysia,Trengganu,1288895,2010,10074527
Malaysia,Johor,1911485,2011,24365470
Malaysia,Kedah,951787,2011,4426538
Malaysia,Kelantan,1513205,2011,13752514
Malaysia,Kuala Lumpur,27198,2011,17537
Malaysia,Labuan,9066,2011,30160
Malaysia,Melaka,165403,2011,1261246
Malaysia,Negeri Sembilan,666738,2011,7957214
Malaysia,Pahang,3585238,2011,26541969
Malaysia,Perak,2091110,2011,9433174
Malaysia,Perlis,82349,2011,26214
Malaysia,Pulau Pinang,105622,2011,96167
Malaysia,Putrajaya,6173,2011,1703
Malaysia,Sabah,7372091,2011,39326584
Malaysia,Sarawak,12379545,2011,167511455
Malaysia,Selangor,782443,2011,1394515
Malaysia,Trengganu,1288895,2011,6143847
Malaysia,Johor,1911485,2012,15733919
Malaysia,Kedah,951787,2012,5107978
Malaysia,Kelantan,1513205,2012,24206068
Malaysia,Kuala Lumpur,27198,2012,25988
Malaysia,Labuan,9066,2012,65894
Malaysia,Melaka,165403,2012,1088913
Malaysia,Negeri Sembilan,666738,2012,12982002
Malaysia,Pahang,3585238,2012,48103725
Malaysia,Perak,2091110,2012,9479235
Malaysia,Perlis,82349,2012,39986
Malaysia,Pulau Pinang,105622,2012,116669
Malaysia,Putrajaya,6173,2012,1953
Malaysia,Sabah,7372091,2012,56421384
Malaysia,Sarawak,12379545,2012,225940181
Malaysia,Selangor,782443,2012,2650491
Malaysia,Trengganu,1288895,2012,9024779
Malaysia,Johor,1911485,2013,8531067
Malaysia,Kedah,951787,2013,3816707
Malaysia,Kelantan,1513205,2013,11298874
Malaysia,Kuala Lumpur,27198,2013,978
Malaysia,Labuan,9066,2013,9577
Malaysia,Melaka,165403,2013,470081
Malaysia,Negeri Sembilan,666738,2013,3280956
Malaysia,Pahang,3585238,2013,21622693
Malaysia,Perak,2091110,2013,5597916
Malaysia,Perlis,82349,2013,59672
Malaysia,Pulau Pinang,105622,2013,49712
Malaysia,Putrajaya,6173,2013,1502
Malaysia,Sabah,7372091,2013,29061513
Malaysia,Sarawak,12379545,2013,100817758
Malaysia,Selangor,782443,2013,1287901
Malaysia,Trengganu,1288895,2013,6025767
Malaysia,Johor,1911485,2014,19167657
Malaysia,Kedah,951787,2014,8717694
Malaysia,Kelantan,1513205,2014,26676856
Malaysia,Kuala Lumpur,27198,2014,26992
Malaysia,Labuan,9066,2014,37099
Malaysia,Melaka,165403,2014,2027517
Malaysia,Negeri Sembilan,666738,2014,7768059
Malaysia,Pahang,3585238,2014,43501482
Malaysia,Perak,2091110,2014,12186622
Malaysia,Perlis,82349,2014,182505
Malaysia,Pulau Pinang,105622,2014,154364
Malaysia,Putrajaya,6173,2014,4885
Malaysia,Sabah,7372091,2014,68404103
Malaysia,Sarawak,12379545,2014,170897158
Malaysia,Selangor,782443,2014,7218670
Malaysia,Trengganu,1288895,2014,8837484
Malaysia,Johor,1911485,2015,11703403
Malaysia,Kedah,951787,2015,8274821
Malaysia,Kelantan,1513205,2015,16326586
Malaysia,Kuala Lumpur,27198,2015,16435
Malaysia,Labuan,9066,2015,44576
Malaysia,Melaka,165403,2015,1105845
Malaysia,Negeri Sembilan,666738,2015,4891627
Malaysia,Pahang,3585238,2015,31278330
Malaysia,Perak,2091110,2015,9330592
Malaysia,Perlis,82349,2015,124123
Malaysia,Pulau Pinang,105622,2015,118358
Malaysia,Putrajaya,6173,2015,4485
Malaysia,Sabah,7372091,2015,51989474
Malaysia,Sarawak,12379545,2015,112170381
Malaysia,Selangor,782443,2015,1964783
Malaysia,Trengganu,1288895,2015,7764499
Malaysia,Johor,1911485,2016,17855981
Malaysia,Kedah,951787,2016,9518175
Malaysia,Kelantan,1513205,2016,18271263
Malaysia,Kuala Lumpur,27198,2016,21972
Malaysia,Labuan,9066,2016,65514
Malaysia,Melaka,165403,2016,2256715
Malaysia,Negeri Sembilan,666738,2016,8353096
Malaysia,Pahang,3585238,2016,55409537
Malaysia,Perak,2091110,2016,12251099
Malaysia,Perlis,82349,2016,240288
Malaysia,Pulau Pinang,105622,2016,168551
Malaysia,Putrajaya,6173,2016,11358
Malaysia,Sabah,7372091,2016,54136001
Malaysia,Sarawak,12379545,2016,118705219
Malaysia,Selangor,782443,2016,3989146
Malaysia,Trengganu,1288895,2016,11366984
Malaysia,Johor,1911485,2017,16722163
Malaysia,Kedah,951787,2017,10250117
Malaysia,Kelantan,1513205,2017,14333971
Malaysia,Kuala Lumpur,27198,2017,54600
Malaysia,Labuan,9066,2017,20015
Malaysia,Melaka,165403,2017,1866030
Malaysia,Negeri Sembilan,666738,2017,7330371
Malaysia,Pahang,3585238,2017,40962541
